Update Call #1810:
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (1748.9916938066756, 2036.8587225782849, 0), Speed: 12.033781285922116, Angle: 71.32836833725761, Acceleration: 2.319784088828598
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (945.4423932062864, 2034.145280146243, 0), Speed: 8.320671334426635, Angle: 247.48843622528145, Acceleration: -0.028845813102087448
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (1322.9386009698565, 773.9596646117443, 0), Speed: 10.209649330187638, Angle: 182.47977529029336, Acceleration: 1.9243256338406312
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (2080.3065945838453, 2113.3755287945805, 0), Speed: 9.900798991526017, Angle: 160.73942554682418, Acceleration: 2.3030608323169766
Node ID: vehicle_5, Type: vehicle, Position (x, y, z): (706.950600995186, 1291.8074039655978, 0), Speed: 8.077563122569671, Angle: 86.00673510053696, Acceleration: 2.164467162615624
Node ID: vehicle_6, Type: vehicle, Position (x, y, z): (393.70057025820245, 1187.4678127831205, 0), Speed: 8.357114020346836, Angle: 70.13247071119957, Acceleration: 2.307165922760035
Node ID: vehicle_7, Type: vehicle, Position (x, y, z): (1072.2820416294976, 2071.005916741005, 0), Speed: 8.583310058772684, Angle: 153.43494882292202, Acceleration: 2.2709771149791713
Node ID: vehicle_8, Type: vehicle, Position (x, y, z): (1753.2366152467519, 1501.6831744354004, 0), Speed: 5.94798710178513, Angle: 355.35963014637133, Acceleration: 1.7540506196906769
Node ID: vehicle_9, Type: vehicle, Position (x, y, z): (966.4229119298773, 2042.8406568853877, 0), Speed: 5.8353415996720335, Angle: 247.48843622528196, Acceleration: 1.7731430535903137
Node ID: vehicle_10, Type: vehicle, Position (x, y, z): (256.8813658742845, 2167.9892374778633, 0), Speed: 4.658044196866629, Angle: 155.65628266020553, Acceleration: 2.2266007610131044
Node ID: vehicle_11, Type: vehicle, Position (x, y, z): (857.5540812846785, 2013.824455054204, 0), Speed: 3.916477050610735, Angle: 339.22321718346984, Acceleration: 1.6646649664500757
Node ID: vehicle_12, Type: vehicle, Position (x, y, z): (580.8070556338155, 1223.5550608899082, 0), Speed: 2.5338547983215673, Angle: 151.7122258131701, Acceleration: 1.4558580248383812
Node ID: UAV_0, Type: uav, Position (x, y, z): (598.8525088739511, 1217.0515802402972, 162.6583112092713), Speed: 13.618912206610844, Angle: 0.8813032180468318, Acceleration: 56.55264729524568
Node ID: UAV_1, Type: uav, Position (x, y, z): (2675.7814686714614, 380.5888657607348, 167.01155820883756), Speed: 21.950637741175626, Angle: 2.546624734669084, Acceleration: -74.40129887205593
Node ID: UAV_2, Type: uav, Position (x, y, z): (267.4203660974219, 236.50804664754855, 146.8264603458183), Speed: 18.486200560021437, Angle: 2.2481244001055205, Acceleration: 107.70378555913719
Node ID: UAV_3, Type: uav, Position (x, y, z): (282.61028169699773, 415.15351013523946, 187.2322173649428), Speed: 23.744060340316253, Angle: 0.5570686748405428, Acceleration: -67.93526093910387
Node ID: UAV_4, Type: uav, Position (x, y, z): (737.9964216438023, 1293.7490169439147, 109.44228265530663), Speed: 19.661951123620867, Angle: 0.9624822321209335, Acceleration: -27.485671070180082
Node ID: UAV_5, Type: uav, Position (x, y, z): (214.840225065565, 2110.364579916978, 103.21485363232239), Speed: 11.40962081132518, Angle: 5.250831874178098, Acceleration: 119.40034959658291
