step,succ_ratio,avg_speed_car,avg_speed_uav,v2u_rate,v2i_rate,u2i_rate,avg_running_compute_delay,pre_ratio,pre_v2u_rate,pre_v2i_rate,pre_u2i_rate
1680,0.5864,11.72,19.03,0.16,0.13,0.74,0.1,0.5872,0.17,0.14,0.74
1690,0.5868,11.69,18.11,0.16,0.13,0.73,1.2075,0.5864,0.16,0.13,0.74
1700,0.5874,11.4,22.21,0.16,0.13,0.73,0.9611,0.5868,0.16,0.13,0.73
1710,0.5848,11.24,19.44,0.16,0.13,0.72,0.0,0.5874,0.16,0.13,0.73
1720,0.5848,11.3,20.95,0.16,0.13,0.72,0.75,0.5848,0.16,0.13,0.72
1730,0.5853,10.96,18.3,0.16,0.13,0.71,1.2911,0.5848,0.16,0.13,0.72
1740,0.5835,10.79,21.58,0.16,0.13,0.71,1.3,0.5853,0.16,0.13,0.71
1750,0.5829,10.4,24.0,0.16,0.13,0.71,0.775,0.5835,0.16,0.13,0.71
1760,0.5815,10.24,20.84,0.16,0.13,0.7,0.25,0.5829,0.16,0.13,0.71
1770,0.5824,9.98,18.68,0.16,0.13,0.7,1.0861,0.5815,0.16,0.13,0.7
1780,0.5849,9.63,22.76,0.15,0.13,0.69,0.9875,0.5824,0.16,0.13,0.7
1790,0.5836,9.45,19.84,0.15,0.13,0.69,0.3,0.5849,0.15,0.13,0.69
1800,0.584,8.95,19.91,0.15,0.13,0.69,1.05,0.5836,0.15,0.13,0.69
1810,0.5844,8.69,21.2,0.15,0.13,0.68,1.1795,0.584,0.15,0.13,0.69
1820,0.5809,8.24,19.66,0.15,0.12,0.68,1.7333,0.5844,0.15,0.13,0.68
1830,0.5792,8.38,17.44,0.15,0.12,0.68,0.8467,0.5809,0.15,0.12,0.68
1840,0.5781,8.48,20.52,0.15,0.12,0.67,1.05,0.5792,0.15,0.12,0.68
1850,0.5781,8.55,26.59,0.15,0.12,0.67,1.2125,0.5781,0.15,0.12,0.67
1860,0.5782,8.29,21.69,0.15,0.12,0.66,1.1625,0.5781,0.15,0.12,0.67
1870,0.5748,8.23,19.35,0.15,0.12,0.66,1.0704,0.5782,0.15,0.12,0.66
1880,0.5763,8.4,20.16,0.15,0.12,0.66,0.7278,0.5748,0.15,0.12,0.66
1890,0.5764,8.43,19.39,0.15,0.13,0.65,1.0665,0.5763,0.15,0.12,0.66
1900,0.5754,8.49,17.9,0.15,0.13,0.65,0.7438,0.5764,0.15,0.13,0.65
1910,0.5764,8.74,23.33,0.14,0.16,0.65,0.0,0.5754,0.15,0.13,0.65
1920,0.5764,8.71,18.94,0.14,0.16,0.64,1.05,0.5764,0.14,0.16,0.65
1930,0.5768,8.96,18.72,0.14,0.17,0.64,1.0059,0.5764,0.14,0.16,0.64
1940,0.5778,8.98,18.92,0.14,0.23,0.64,0.7775,0.5768,0.14,0.17,0.64
1950,0.5747,9.02,26.1,0.14,0.23,0.63,0.58,0.5778,0.14,0.23,0.64
1960,0.5751,8.64,24.51,0.14,0.22,0.63,0.55,0.5747,0.14,0.23,0.63
1970,0.5755,8.95,21.04,0.14,0.23,0.63,0.8419,0.5751,0.14,0.22,0.63
1980,0.5793,9.17,15.07,0.14,0.23,0.62,1.05,0.5755,0.14,0.23,0.63
1990,0.5791,9.26,21.19,0.14,0.27,0.62,0.71,0.5793,0.14,0.23,0.62
2000,0.5794,9.34,20.89,0.14,0.27,0.62,0.6975,0.5791,0.14,0.27,0.62
2010,0.5787,9.48,17.67,0.14,0.28,0.62,1.1433,0.5794,0.14,0.27,0.62
2020,0.5761,9.75,24.47,0.14,0.28,0.61,1.03,0.5787,0.14,0.28,0.62
2030,0.5747,9.73,17.76,0.14,0.28,0.61,0.1667,0.5761,0.14,0.28,0.61
2040,0.5746,9.87,22.04,0.14,0.28,0.61,0.8,0.5747,0.14,0.28,0.61
2050,0.5749,9.95,17.42,0.13,0.29,0.6,1.1285,0.5746,0.14,0.28,0.61
2060,0.5718,10.0,24.67,0.13,0.29,0.6,1.0733,0.5749,0.13,0.29,0.6
2070,0.5699,9.95,20.22,0.13,0.28,0.6,0.7944,0.5718,0.13,0.29,0.6
2080,0.5705,9.77,17.77,0.13,0.28,0.59,0.2333,0.5699,0.13,0.28,0.6
2090,0.5707,9.58,17.34,0.15,0.29,0.59,0.871,0.5705,0.13,0.28,0.59
2100,0.5751,9.23,18.78,0.15,0.29,0.59,1.0375,0.5707,0.15,0.29,0.59
2110,0.575,8.93,22.2,0.15,0.29,0.59,0.35,0.5751,0.15,0.29,0.59
2120,0.576,8.67,15.46,0.15,0.29,0.58,0.8667,0.575,0.15,0.29,0.59
2130,0.5759,8.47,21.75,0.17,0.3,0.58,0.8982,0.576,0.15,0.29,0.58
2140,0.5752,8.36,19.11,0.16,0.29,0.58,1.2,0.5759,0.17,0.3,0.58
2150,0.5739,8.32,22.66,0.16,0.29,0.58,0.75,0.5752,0.16,0.29,0.58
2160,0.5755,8.39,24.02,0.16,0.33,0.57,0.8933,0.5739,0.16,0.29,0.58
2170,0.5769,8.65,20.55,0.18,0.34,0.57,1.3006,0.5755,0.16,0.33,0.57
2180,0.5727,8.9,22.6,0.18,0.34,0.57,1.0,0.5769,0.18,0.34,0.57
2190,0.5722,9.06,20.46,0.18,0.37,0.56,0.41,0.5727,0.18,0.34,0.57
2200,0.5741,9.13,18.41,0.18,0.37,0.56,1.3,0.5722,0.18,0.37,0.56
2210,0.5737,9.03,21.38,0.17,0.38,0.56,0.9513,0.5741,0.18,0.37,0.56
2220,0.5764,8.94,18.69,0.17,0.38,0.56,1.3056,0.5737,0.17,0.38,0.56
2230,0.5751,8.89,17.97,0.17,0.41,0.55,0.5807,0.5764,0.17,0.38,0.56
2240,0.5753,8.67,17.69,0.17,0.41,0.55,1.14,0.5751,0.17,0.41,0.55
2250,0.5752,8.67,20.87,0.17,0.41,0.55,0.9877,0.5753,0.17,0.41,0.55
2260,0.576,8.58,23.27,0.17,0.41,0.55,1.2167,0.5752,0.17,0.41,0.55
2270,0.576,8.3,19.83,0.17,0.41,0.54,0.2167,0.576,0.17,0.41,0.55
2280,0.5766,8.45,23.96,0.17,0.41,0.54,0.9,0.576,0.17,0.41,0.54
2290,0.5766,8.49,22.94,0.17,0.41,0.54,1.085,0.5766,0.17,0.41,0.54
2300,0.5774,8.55,20.55,0.17,0.41,0.54,0.975,0.5766,0.17,0.41,0.54
2310,0.5773,8.45,20.91,0.17,0.4,0.54,1.3375,0.5774,0.17,0.41,0.54
2320,0.5771,8.62,22.38,0.17,0.4,0.53,1.19,0.5773,0.17,0.4,0.54
2330,0.5761,8.75,23.34,0.17,0.4,0.53,1.2842,0.5771,0.17,0.4,0.53
2340,0.5728,8.84,20.0,0.16,0.4,0.53,1.0833,0.5761,0.17,0.4,0.53
2350,0.572,8.78,18.64,0.16,0.4,0.53,0.6333,0.5728,0.16,0.4,0.53
2360,0.5726,8.98,22.25,0.16,0.4,0.52,0.8333,0.572,0.16,0.4,0.53
2370,0.5729,9.09,17.81,0.16,0.39,0.52,1.37,0.5726,0.16,0.4,0.52
2380,0.5704,9.07,20.52,0.16,0.39,0.52,1.0479,0.5729,0.16,0.39,0.52
2390,0.5684,9.02,22.35,0.16,0.39,0.52,0.6833,0.5704,0.16,0.39,0.52
2400,0.5683,8.99,20.5,0.16,0.39,0.52,0.9,0.5684,0.16,0.39,0.52
2410,0.5682,9.04,17.42,0.16,0.39,0.51,1.3553,0.5683,0.16,0.39,0.52
2420,0.5672,9.03,17.32,0.16,0.39,0.51,1.0,0.5682,0.16,0.39,0.51
2430,0.566,8.88,20.68,0.16,0.38,0.51,1.2333,0.5672,0.16,0.39,0.51
2440,0.5659,8.66,19.39,0.16,0.38,0.51,0.87,0.566,0.16,0.38,0.51
2450,0.5664,8.77,17.31,0.16,0.38,0.5,1.3,0.5659,0.16,0.38,0.51
2460,0.5646,8.83,21.8,0.16,0.38,0.5,1.0333,0.5664,0.16,0.38,0.5
2470,0.5639,9.09,18.82,0.16,0.38,0.5,0.65,0.5646,0.16,0.38,0.5
2480,0.5644,9.14,20.72,0.16,0.38,0.5,0.9333,0.5639,0.16,0.38,0.5
2490,0.5644,9.41,21.47,0.15,0.37,0.5,1.245,0.5644,0.16,0.38,0.5
2500,0.5635,9.81,17.28,0.15,0.37,0.49,1.1467,0.5644,0.15,0.37,0.5
2510,0.5627,10.09,22.37,0.15,0.37,0.49,1.2867,0.5635,0.15,0.37,0.49
2520,0.5629,10.27,22.75,0.15,0.37,0.49,1.0889,0.5627,0.15,0.37,0.49
2530,0.5628,10.27,19.68,0.15,0.37,0.49,1.2456,0.5629,0.15,0.37,0.49
2540,0.5614,10.2,22.31,0.15,0.37,0.49,1.4278,0.5628,0.15,0.37,0.49
2550,0.56,9.74,19.7,0.15,0.37,0.48,0.975,0.5614,0.15,0.37,0.49
2560,0.56,9.37,21.2,0.15,0.36,0.48,1.0667,0.56,0.15,0.37,0.48
2570,0.5602,9.08,17.75,0.15,0.36,0.48,1.2889,0.56,0.15,0.36,0.48
2580,0.5572,9.1,20.55,0.15,0.36,0.48,1.0556,0.5602,0.15,0.36,0.48
2590,0.5562,8.87,17.79,0.15,0.36,0.48,0.39,0.5572,0.15,0.36,0.48
2600,0.556,8.76,22.7,0.15,0.36,0.48,1.6,0.5562,0.15,0.36,0.48
2610,0.5553,8.4,19.95,0.15,0.36,0.47,0.8,0.556,0.15,0.36,0.48
2620,0.5558,8.34,16.58,0.15,0.36,0.47,1.075,0.5553,0.15,0.36,0.47
2630,0.5571,8.27,21.47,0.15,0.38,0.47,0.0,0.5558,0.15,0.36,0.47
2640,0.5571,8.25,24.46,0.15,0.38,0.47,0.7667,0.5571,0.15,0.38,0.47
2650,0.5579,8.33,17.41,0.15,0.38,0.47,1.1333,0.5571,0.15,0.38,0.47
2660,0.5582,8.49,21.15,0.15,0.38,0.46,0.575,0.5579,0.15,0.38,0.47
2670,0.5583,8.62,22.5,0.14,0.38,0.46,0.7833,0.5582,0.15,0.38,0.46
2680,0.5583,8.61,16.56,0.14,0.38,0.46,1.25,0.5583,0.14,0.38,0.46
2690,0.5582,8.65,20.02,0.14,0.38,0.46,0.7,0.5583,0.14,0.38,0.46
2700,0.5575,8.72,23.98,0.14,0.37,0.46,1.0333,0.5582,0.14,0.38,0.46
2710,0.5575,8.75,20.56,0.14,0.37,0.46,1.0,0.5575,0.14,0.37,0.46
2720,0.5577,8.87,18.33,0.14,0.37,0.45,0.6833,0.5575,0.14,0.37,0.46
2730,0.5579,8.92,24.05,0.14,0.37,0.45,1.0,0.5577,0.14,0.37,0.45
2740,0.5581,8.97,20.07,0.14,0.37,0.45,0.65,0.5579,0.14,0.37,0.45
2750,0.5583,9.05,23.17,0.14,0.37,0.45,0.7,0.5581,0.14,0.37,0.45
2760,0.5586,9.13,18.99,0.14,0.37,0.45,1.0,0.5583,0.14,0.37,0.45
2770,0.5588,9.39,17.14,0.14,0.36,0.45,1.4,0.5586,0.14,0.37,0.45
